,NZ,N,Z,A,el,o,massexcess,uncmassex,binding,uncbind,B,beta,uncbeta,am_int,am_float,uncatmass
1196,15,61,46,107,Pd ,    ,-88372.639,1.201,8560.894,0.011,B-,34.031,2.318,106,905128.064,1.289
1197,13,60,47,107,Ag ,    ,-88406.67,2.382,8553.9,0.022,B-,-1416.409,2.567,106,905091.531,2.557
1198,11,59,48,107,Cd ,    ,-86990.261,1.665,8533.351,0.016,B-,-3426.0,11.0,106,906612.108,1.787
1199,9,58,49,107,In ,   -,-83564.261,11.125,8494.021,0.104,B-,-5052.033,12.327,106,910290.071,11.943
1200,7,57,50,107,Sn ,   x,-78512.228,5.31,8439.494,0.05,B-,-7858.989,6.738,106,915713.651,5.7
1201,5,56,51,107,Sb ,    ,-70653.239,4.148,8358.734,0.039,B-,-10113.913,70.952,106,924150.624,4.452
1202,3,55,52,107,Te ,  -a,-60539.326,70.83,8256.899,0.662,B-,-11.11,0.308,106,935008.356,76.039
1203,1,54,53,107,I  ,   x,-0.4943,0.003,8.146,0.003,B-,0.0,0.0,106,9.46935,0.00322
1204,30,69,39,108,Y  ,   x,-0.37297,0.00596,8.134,0.006,B-,14.056,0.718,107,9.5996,0.0064
1205,28,68,40,108,Zr ,   x,-0.51353,0.00401,8.257,0.004,B-,8.193,0.401,107,9.4487,0.0043
1206,26,67,41,108,Nb ,   x,-59545.765,8.237,8325.665,0.076,B-,11210.177,12.373,107,936074.988,8.842
1207,24,66,42,108,Mo ,   x,-70755.942,9.233,8422.219,0.085,B-,5166.835,12.734,107,924040.367,9.912
1208,22,65,43,108,Tc ,   x,-75922.778,8.769,8462.816,0.081,B-,7738.573,11.79,107,918493.541,9.413
1209,20,64,44,108,Ru , -3n,-83661.35,8.68,8527.225,0.08,B-,1370.37,16.469,107,910185.841,9.318
1210,18,63,45,108,Rh ,   x,-85031.721,13.996,8532.67,0.13,B-,4492.486,14.039,107,908714.688,15.024
1211,16,62,46,108,Pd ,    ,-89524.206,1.108,8567.023,0.01,B-,-1917.444,2.633,107,903891.805,1.189
1212,14,61,47,108,Ag ,  -n,-87606.763,2.388,8542.025,0.022,B-,1645.651,2.639,107,905950.266,2.563
1213,12,60,48,108,Cd ,    ,-89252.414,1.123,8550.019,0.01,B-,-5132.595,8.584,107,904183.587,1.205
1214,10,59,49,108,In ,    ,-84119.819,8.641,8495.251,0.08,B-,-2049.881,9.836,107,909693.655,9.276
1215,8,58,50,108,Sn ,    ,-82069.938,5.382,8469.027,0.05,B-,-9624.607,7.692,107,911894.292,5.778
1216,6,57,51,108,Sb ,   x,-72445.331,5.496,8372.666,0.051,B-,-6663.664,7.712,107,922226.734,5.9
1217,4,56,52,108,Te ,    ,-65781.667,5.411,8303.721,0.05,B-,-13132.062,132.37,107,929380.471,5.808
1218,2,55,53,108,I  ,  -a,-52649.605,132.26,8174.884,1.225,B-,0.0,0.0,107,943478.321,141.986
1219,31,70,39,109,Y  ,   x,-0.332,0.007,8.096,0.006,B-,12.992,0.862,108,9.64358,0.00751
1220,29,69,40,109,Zr ,   x,-0.46193,0.00503,8.208,0.005,B-,10.497,0.566,108,9.5041,0.0054
1221,27,68,41,109,Nb ,   x,-56689.794,258.49,8297.13,2.371,B-,9976.202,258.732,108,939141.0,277.5
1222,25,67,42,109,Mo ,   x,-66665.996,11.188,8381.477,0.103,B-,7616.78,14.787,108,928431.106,12.01
1223,23,66,43,109,Tc ,   x,-74282.775,9.669,8444.178,0.089,B-,6455.626,12.657,108,920254.156,10.38
1224,21,65,44,109,Ru , -4n,-80738.401,8.954,8496.227,0.082,B-,4261.054,9.822,108,913323.756,9.612
1225,19,64,45,109,Rh ,    ,-84999.455,4.039,8528.142,0.037,B-,2607.021,4.187,108,908749.326,4.336
1226,17,63,46,109,Pd ,    ,-87606.476,1.114,8544.882,0.01,B-,1112.95,1.402,108,905950.574,1.195
1227,15,62,47,109,Ag ,    ,-88719.426,1.287,8547.915,0.012,B-,-215.105,1.78,108,904755.773,1.381
1228,13,61,48,109,Cd ,    ,-88504.321,1.536,8538.764,0.014,B-,-2014.809,4.066,108,904986.698,1.649
1229,11,60,49,109,In ,    ,-86489.511,3.969,8513.102,0.036,B-,-3859.327,8.887,108,907149.685,4.261
1230,9,59,50,109,Sn ,    ,-82630.184,7.949,8470.518,0.073,B-,-6379.206,8.807,108,911292.843,8.533
1231,7,58,51,109,Sb ,    ,-76250.977,5.265,8404.815,0.048,B-,-8535.587,6.85,108,918141.204,5.652
1232,5,57,52,109,Te ,    ,-67715.39,4.382,8319.33,0.04,B-,-10042.894,8.03,108,927304.534,4.704
1233,3,56,53,109,I  ,  -p,-57672.496,6.729,8220.016,0.062,B-,-11502.948,300.183,108,938086.025,7.223
1234,1,55,54,109,Xe ,  -a,-46169.548,300.108,8107.306,2.753,B-,0.0,0.0,108,950434.948,322.178
1235,30,70,40,110,Zr ,   x,-0.42886,0.00596,8.177,0.005,B-,9.424,1.029,109,9.5396,0.0064
1236,28,69,41,110,Nb ,   x,-52309.909,838.345,8255.26,7.621,B-,12232.677,838.694,109,943843.0,900.0
1237,26,68,42,110,Mo ,   x,-64542.585,24.223,8359.354,0.22,B-,6491.925,26.018,109,930710.68,26.004
1238,24,67,43,110,Tc ,   x,-71034.51,9.497,8411.259,0.086,B-,9038.066,12.509,109,923741.312,10.195
1239,22,66,44,110,Ru ,    ,-80072.576,8.924,8486.311,0.081,B-,2756.11,19.404,109,914038.548,9.58
1240,20,65,45,110,Rh ,    ,-82828.686,17.805,8504.254,0.162,B-,5502.218,17.797,109,911079.742,19.114
1241,18,64,46,110,Pd ,    ,-88330.905,0.612,8547.162,0.006,B-,-873.603,1.378,109,905172.868,0.657
1242,16,63,47,110,Ag ,    ,-87457.302,1.286,8532.108,0.012,B-,2890.667,1.277,109,906110.719,1.38
1243,14,62,48,110,Cd ,    ,-90347.969,0.38,8551.275,0.003,B-,-3878.0,11.547,109,903007.46,0.407
1244,12,61,49,110,In ,   -,-86469.969,11.553,8508.908,0.105,B-,-627.985,17.98,109,907170.665,12.402
1245,10,60,50,110,Sn ,   x,-85841.983,13.777,8496.087,0.125,B-,-8392.25,15.012,109,907844.835,14.79
1246,8,59,51,110,Sb ,   x,-77449.734,5.962,8412.681,0.054,B-,-5219.923,8.875,109,916854.286,6.4
1247,6,58,52,110,Te ,    ,-72229.811,6.575,8358.115,0.06,B-,-11765.635,50.978,109,922458.104,7.058
1248,4,57,53,110,I  ,  -a,-60464.176,50.552,8244.043,0.46,B-,-8541.551,112.934,109,935089.033,54.27
1249,2,56,54,110,Xe ,  -a,-51922.625,100.988,8159.28,0.918,B-,0.0,0.0,109,944258.765,108.415
1250,31,71,40,111,Zr ,   x,-0.3756,0.007,8.128,0.006,B-,11.316,0.76,110,9.59678,0.00751
1251,29,70,41,111,Nb ,   x,-0.48875,0.00298,8.223,0.003,B-,11.064,0.298,110,9.4753,0.0032
1252,27,69,42,111,Mo ,   +,-59939.761,12.578,8315.292,0.113,B-,9084.861,6.8,110,935652.016,13.502
1253,25,68,43,111,Tc ,   x,-69024.622,10.581,8390.089,0.095,B-,7760.649,13.848,110,925899.016,11.359
1254,23,67,44,111,Ru ,   x,-76785.271,9.682,8452.957,0.087,B-,5519.181,11.86,110,917567.616,10.394
1255,21,66,45,111,Rh ,    ,-82304.452,6.85,8495.631,0.062,B-,3681.435,6.887,110,911642.531,7.354
1256,19,65,46,111,Pd ,  -n,-85985.888,0.731,8521.749,0.007,B-,2229.56,1.572,110,907690.347,0.785
1257,17,64,47,111,Ag ,   +,-88215.447,1.459,8534.787,0.013,B-,1036.8,1.414,110,905296.816,1.565
1258,15,63,48,111,Cd ,    ,-89252.247,0.357,8537.079,0.003,B-,-860.204,3.417,110,904183.766,0.383
1259,13,62,49,111,In ,    ,-88392.043,3.424,8522.282,0.031,B-,-2453.456,6.337,110,905107.233,3.675
1260,11,61,50,111,Sn ,  +n,-85938.587,5.336,8493.13,0.048,B-,-5101.851,10.334,110,907741.126,5.728
1261,9,60,51,111,Sb ,   x,-80836.736,8.849,8440.12,0.08,B-,-7249.259,10.937,110,913218.189,9.5
1262,7,59,52,111,Te ,   x,-73587.477,6.427,8367.763,0.058,B-,-8633.692,7.994,110,921000.589,6.9
1263,5,58,53,111,I  ,    ,-64953.785,4.754,8282.934,0.043,B-,-10558.252,86.83,110,930269.239,5.103
1264,3,57,54,111,Xe ,  -a,-54395.534,86.7,8180.766,0.781,B-,-11.575,0.214,110,941603.989,93.076
1265,1,56,55,111,Cs ,   x,-0.42821,0.00196,8.069,0.002,B-,0.0,0.0,110,9.5403,0.0021
1266,32,72,40,112,Zr ,   x,-0.3381,0.007,8.094,0.006,B-,10.463,0.76,111,9.63703,0.00751
1267,30,71,41,112,Nb ,   x,-0.44274,0.00298,8.18,0.003,B-,13.19,0.357,111,9.5247,0.0032
1268,28,70,42,112,Mo ,   x,-0.57464,0.00196,8.291,0.002,B-,7.795,0.196,111,9.3831,0.0021
1269,26,69,43,112,Tc ,   x,-65258.938,5.515,8353.621,0.049,B-,10371.881,11.06,111,929941.644,5.92
1270,24,68,44,112,Ru ,   x,-75630.818,9.599,8439.242,0.086,B-,4100.685,45.118,111,918806.972,10.305
1271,22,67,45,112,Rh ,    ,-79731.503,44.085,8468.87,0.394,B-,6590.059,43.927,111,914404.705,47.327
1272,20,66,46,112,Pd ,    ,-86321.562,6.544,8520.724,0.058,B-,262.156,6.978,111,907329.986,7.025
1273,18,65,47,112,Ag ,   x,-86583.718,2.422,8516.08,0.022,B-,3991.141,2.435,111,907048.55,2.6
1274,16,64,48,112,Cd ,    ,-90574.859,0.25,8544.73,0.002,B-,-2584.728,4.243,111,902763.883,0.268
1275,14,63,49,112,In ,    ,-87990.131,4.251,8514.667,0.038,B-,664.925,4.243,111,905538.704,4.563
1276,12,62,50,112,Sn ,    ,-88655.056,0.294,8513.618,0.003,B-,-7056.091,17.832,111,904824.877,0.315
1277,10,61,51,112,Sb ,   x,-81598.965,17.829,8443.632,0.159,B-,-4031.457,19.702,111,912399.903,19.14
1278,8,60,52,112,Te ,   x,-77567.508,8.383,8400.652,0.075,B-,-10504.178,13.239,111,916727.85,9.0
1279,6,59,53,112,I  ,   x,-67063.33,10.246,8299.879,0.091,B-,-7036.991,13.175,111,928004.55,11.0
1280,4,58,54,112,Xe ,  -a,-60026.338,8.283,8230.064,0.074,B-,-13736.062,87.19,111,935559.071,8.891
1281,2,57,55,112,Cs ,  -p,-46290.277,86.796,8100.435,0.775,B-,0.0,0.0,111,950305.341,93.178
1282,31,72,41,113,Nb ,   x,-0.40511,0.00401,8.146,0.004,B-,11.979,0.5,112,9.5651,0.0043
1283,29,71,42,113,Mo ,   x,-0.5249,0.003,8.245,0.003,B-,10.322,0.3,112,9.4365,0.00322
1284,27,70,43,113,Tc ,   x,-62811.541,3.353,8329.464,0.03,B-,9056.578,37.028,112,932569.033,3.6
1285,25,69,44,113,Ru ,    ,-71868.119,36.875,8402.688,0.326,B-,6899.417,37.558,112,922846.396,39.587
1286,23,68,45,113,Rh ,   x,-78767.536,7.13,8456.821,0.063,B-,4823.555,9.881,112,915439.567,7.653
1287,21,67,46,113,Pd ,   x,-83591.092,6.945,8492.584,0.061,B-,3435.731,18.033,112,910261.267,7.455
1288,19,66,47,113,Ag ,   +,-87026.822,16.643,8516.065,0.147,B-,2016.462,16.641,112,906572.858,17.866
1289,17,65,48,113,Cd ,    ,-89043.284,0.244,8526.987,0.002,B-,323.833,0.265,112,904408.097,0.262
1290,15,64,49,113,In ,    ,-89367.117,0.188,8522.929,0.002,B-,-1038.985,1.573,112,904060.448,0.202
1291,13,63,50,113,Sn ,    ,-88328.132,1.575,8506.811,0.014,B-,-3911.164,17.121,112,905175.845,1.69
1292,11,62,51,113,Sb ,   -,-84416.968,17.193,8465.275,0.152,B-,-6069.939,32.81,112,909374.652,18.457
1293,9,61,52,113,Te ,   x,-78347.029,27.945,8404.636,0.247,B-,-7227.522,29.07,112,915891.0,30.0
1294,7,60,53,113,I  ,   x,-71119.507,8.011,8333.752,0.071,B-,-8915.889,10.533,112,923650.064,8.6
1295,5,59,54,113,Xe ,    ,-62203.618,6.84,8247.927,0.061,B-,-10439.088,10.97,112,933221.666,7.342
1296,3,58,55,113,Cs ,  -p,-51764.53,8.577,8148.622,0.076,B-,-11.98,0.298,112,944428.488,9.207
