;Product;Yield;Error;Z;N
140;Ga81;4.3397e-05;1.2437e-05;31;50
141;Ga82;1.5705e-05;5.122200000000001e-06;31;51
142;Ga83;4.858800000000001e-07;1.9277e-07;31;52
143;Ga84;1.4445e-08;6.5124999999999996e-09;31;53
144;Ga85;4.7349e-10;1.8567e-10;31;54
145;Ge72;0.0;0.0;32;40
146;Ge73;9.3322e-12;3.8442e-12;32;41
147;Ge74;1.5715000000000002e-09;6.3916e-10;32;42
148;Ge75;6.9153e-08;2.4950000000000002e-08;32;43
149;Ge76;7.3046e-06;2.5578e-06;32;44
150;Ge77;2.7856999999999998e-05;6.8662000000000004e-06;32;45
151;Ge78;0.00010549;1.825e-05;32;46
152;Ge79;4.3938e-05;5.4236e-06;32;47
153;Ge79m;0.00028742;3.5478e-05;32;47
154;Ge80;0.00088028;8.8024e-05;32;48
155;Ge81;0.00084509;0.00013997;32;49
156;Ge81m;0.00019541;3.2364000000000004e-05;32;49
157;Ge82;0.00076342;0.00022939;32;50
158;Ge83;0.00032541;0.0001491;32;51
159;Ge84;0.00011412;5.563e-05;32;52
160;Ge85;3.2158e-05;1.2829e-05;32;53
161;Ge86;8.665e-06;3.0051e-06;32;54
162;Ge87;7.660100000000001e-09;2.7375e-09;32;55
163;As75;3.3231e-12;1.2475e-12;33;42
164;As75m;1.0872e-11;4.0813e-12;33;42
165;As76;2.3176999999999996e-09;8.7962e-10;33;43
166;As77;1.334e-07;4.6829e-08;33;44
167;As78;2.0733e-06;6.930800000000001e-07;33;45
168;As79;2.2153000000000003e-05;7.2449e-06;33;46
169;As80;0.00022488;6.2906e-05;33;47
170;As81;0.00068459;0.00015483;33;48
171;As82;0.00035971;6.6695e-05;33;49
172;As82m;0.0010855;0.00020127;33;49
173;As83;0.0017613;0.00047103;33;50
174;As84;0.0005262999999999999;0.00024516;33;51
175;As84m;0.0005262999999999999;0.00024516;33;51
176;As85;0.00083538;0.00035329999999999997;33;52
177;As86;0.00038187;0.0001381;33;53
178;As87;0.00013912;5.0853e-05;33;54
179;As88;1.567e-05;6.0664999999999994e-06;33;55
180;As89;2.0663e-06;8.0664e-07;33;56
181;As90;2.5179e-09;9.621299999999999e-10;33;57
182;Se76;0.0;0.0;34;42
183;Se77;1.8762e-12;6.5914e-13;34;43
184;Se77m;1.2273e-11;4.3118e-12;34;43
185;Se78;2.9820000000000002e-09;1.001e-09;34;44
186;Se79;1.4854e-06;4.9365e-07;34;45
187;Se79m;2.2708000000000002e-07;7.5465e-08;34;45
188;Se80;1.8041e-05;5.5617e-06;34;46
189;Se81;2.1809e-05;6.5339e-06;34;47
190;Se81m;0.00014266;4.2741e-05;34;47
191;Se82;0.0010023999999999999;0.00022307;34;48
192;Se83;0.0027263;0.00039705;34;49
193;Se83m;0.00063039;9.1808e-05;34;49
194;Se84;0.0083885;0.00059479;34;50
195;Se85;0.0097447;0.00094316;34;51
196;Se86;0.00987;0.0016452;34;52
197;Se87;0.0054464;0.0017074000000000002;34;53
198;Se88;0.0027004999999999998;0.0011068;34;54
199;Se89;0.0007835;0.00031501;34;55
200;Se90;0.00021813;8.4113e-05;34;56
201;Se91;1.7630999999999998e-05;6.2171e-06;34;57
202;Se92;2.022e-06;7.0354e-07;34;58
203;Br79;4.7859e-12;1.5929e-12;35;44
204;Br79m;1.5658e-11;5.2115e-12;35;44
205;Br80;3.6305000000000005e-10;1.1298000000000001e-10;35;45
206;Br80m;1.0955999999999998e-09;3.4095e-10;35;45
207;Br81;1.2978e-07;4.2771999999999994e-08;35;46
208;Br82;1.907e-06;6.569e-07;35;47
209;Br82m;8.141500000000001e-07;2.8046e-07;35;47
210;Br83;7.1707e-05;2.7881e-05;35;48
211;Br84;0.00018606;7.890000000000001e-05;35;49
212;Br84m;0.00018606;7.890000000000001e-05;35;49
